Comment,Designator,Footprint,LCSC
SW_SPDT,"PSW1,PSW2",SW_MSK12C02-HB,C431540
Conn_01x02_Pin,"J1,J2",JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical,C5118738
ChocHS,"LCH1,LCH10,LCH11,LCH12,LCH13,LCH14,LCH15,LCH16,LCH17,LCH2,LCH3,LCH4,LCH5,LCH6,LCH7,LCH8,LCH9,RCH1,RCH10,RCH11,RCH12,RCH13,RCH14,RCH15,RCH16,RCH17,RCH2,RCH3,RCH4,RCH5,RCH6,RCH7,RCH8,RCH9",SW_choc_v1_HS_MBK,C5333465
D,"LD1,LD10,LD11,LD12,LD13,LD14,LD15,LD16,LD17,LD2,LD3,LD4,LD5,LD6,LD7,LD8,LD9,RD1,RD10,RD11,RD12,RD13,RD14,RD15,RD16,RD17,RD2,RD3,RD4,RD5,RD6,RD7,RD8,RD9",D_SOD-123,C81598
